#Species/genus	Genomes	Organism name	Chromosome RefSeq	Chromosome GenBank	Plasmid RefSeq	Plasmid GenBank	WGS	CODE	Comment	PubmedIDs	External link	UniProt
Chlamydia trachomatis	128	Chlamydia trachomatis 434/Bu	NC_010287.1	AM884176.1				CLI/MOD	Chlamydia trachomatis causes infections that lead to blindness and sexually transmitted diseases in humans. C. trachomatis serovar L2 strain 434/Bu was isolated from the bubo of a patient with Lymphogranuloma venereum (LGV). It is much more invasive than strains of Trachoma serovars, and widely used in virulence and evolutionary studies of C. trachomatis.	18032721	http://stdgen.northwestern.edu/stdgen/bacteria/chlamy (Chlamydia trachomatis database)	UP000000795
Chlamydia trachomatis	128	Chlamydia trachomatis D/UW-3/CX	NC_000117.1	AE001273.1				FGS/UPR	Chlamydia trachomatis D/UW-3/CX is the prototype strain of trachoma biovar, and is serologically related to common isolates from the genital tract. 	9784136	http://stdgen.northwestern.edu/stdgen/bacteria/chlamy (Chlamydia trachomatis database)	UP000000431
Chlamydia pneumoniae	13	Chlamydophila pneumoniae CWL029	NC_000922.1	AE001363.1				CLI/MOD	Chlamydia pneumonia is a major causative agent of human pneumonia. C. pneumoniae CWL029 is the most common strain endemic in the US and was widely used in biomedical research.	10192388		UP000000801
Chlorobaculum tepidum	1	Chlorobium tepidum TLS	NC_002932.3	AE006470.1				FGS/MOD/TYS/UPR	Chlorobium tepidum is a member of the green-sulfur bacteria (GSB) and is widely used as a model system for studying phototrophic sulfur oxidation in GSB. This is the first genome sequence from the phylum Chlorobia. 	12093901		UP000001007
Chloroflexus aurantiacus	1	Chloroflexus aurantiacus J-10-fl	NC_010175.1	CP000909.1				PHY/TYS/UPR	As one of the earliest branching bacteria capable of photosynthesis, Chloroflexus aurantiacus is essential for understanding the origin and evolution of photosynthesis in bacteria.	21714912		UP000002008
Clostridium acetobutylicum	4	Clostridium acetobutylicum ATCC 824	NC_003030.1	AE001437.1	NC_001988.2	AE001438.3		MOD/TYS/UPR	Clostridium acetobutylicum is a saccharolytic and proteolytic soil bacterium capable of producing a number of organic solvents through fermentation of various organic compounds. C. acetobutylicum ATCC 824 was isolated in 1924 from garden soil and is one of the best-studied solventogenic clostridia. 	11466286		UP000000814
Clostridium botulinum	107	Clostridium botulinum A str. ATCC 3502	NC_009495.1	AM412317.1	NC_009496.1	AM412318.1		COM/UPR	Clostridium botulinum produces botulinum neurotoxin, one of the most potent toxins known. This strain is a well-studied Hall strain that produces type A toxin.	17519437		UP000001986
Clostridium botulinum	107	Clostridium botulinum A str. Hall	NC_009698.1	CP000727.1				MOD	Clostridium botulinum is a spore-forming bacterium that causes severe neuroparalysis in humans and animals through producing one of the most potent and deadly botulinum toxin. C. botulinum A str. Hall is the most widely studied C. botulinum strain. 	18060065		UP000002409
Corynebacterium glutamicum	15	Corynebacterium glutamicum ATCC 13032	NC_003450.3	BA000036.3				FGS/MOD/TYS/UPR	Corynebacterium glutamicum is a well-studied soil bacterium of considerable importance in biotechnology, in particular for the fermentative production of L-amino acids for food and fodder industry. This is the first C. glutamicum genome and C. glutamicum ATCC 13032 is widely used in industrial production of amino acids.	12743753	http://www.coryneregnet.de (CoryneRegNet)	UP000000582
Coxiella burnetii	24	Coxiella burnetii RSA 493	NC_002971.3	AE016828.2	NC_004704.1	AE016829.1		FGS/MOD/UPR	Coxiella burnetii is the etiologic agent of Q fever. C. burnetii RSA 493 is widely used in biological studies and this is the first complete genome of C. burnetii.	12704232,19047403		UP000002671
Deinococcus radiodurans	3	Deinococcus radiodurans R1	NC_001264.1,NC_001263.1	AE001825.1,AE000513.1	NC_000959.1,NC_000958.1	AE001827.1,AE001826.1		MOD/TYS/UPR	Deinococcus radiodurans is the most radiation-resistant organism described to date. D. radiodurans R1 is the type strain of D. radiodurans and widely used to study the radiation-resistant mechanism of this bacterium. 	10567266		UP000002524
Desulfovibrio vulgaris	4	Desulfovibrio vulgaris str. Hildenborough	NC_002937.3	AE017285.1	NC_005863.1	AE017286.1		FGS/MOD/TYS/UPR	Desulfovibrio vulgaris is a member of sulfate-reducing bacteria (SRB) commonly found in a variety of soil and aquatic environments. D. vulgaris Hildenborough is a model organism for studying the metabolism and evolution of SRB.	15077118		UP000002194
Dictyoglomus turgidum	1	Dictyoglomus turgidum DSM 6724	NC_011661.1	CP001251.1				TYS/UPR	Dictyoglomus turgidum is an extremely thermophilic bacterium with considerable biotechnological applications. D. turgidum DSM 6724 is the type strain isolated from a hot spring in Kamchatka, Russia. 	20635162		UP000007719
Enterobacter aerogenes	77	Enterobacter aerogenes KCTC 2190	NC_015663.1	CP002824.1				COM/FGS/TYS	Enterobacter aerogenes is an opportunistic human pathogen. This is the first complete genome sequence of the Enterobacter aerogenes species. 	22493190		UP000008881
Enterobacter cloacae	318	Enterobacter cloacae subsp. cloacae ATCC 13047	NC_014121.1	CP001918.1	NC_014107.1,NC_014108.1	CP001919.1,CP001920.1		CLI/TYS/UPR	Enterobacter cloacae is an important nosocomial pathogen. The type strain E. cloacae subsp. cloacae ATCC 13047 was isolated from human cerebrospinal fluid in 1890. 	20207761		UP000002363
Enterococcus faecalis	440	Enterococcus faecalis V583	NC_004668.1	AE016830.1	NC_004670.1,NC_004669.1,NC_004671.1	AE016832.1,AE016833.1,AE016831.1		CLI/FGS/UPR	Enterococcus faecalis is an important nosocomial pathogen. The type strain E. faecalis V583 is a vancomycin-resistant clinical isolate.	12663927		UP000001415
Enterococcus faecium	328	Enterococcus faecium DO	NC_017960.1	CP003583.1	NC_017961.1,NC_017963.1,NC_017962.1	CP003584.1,CP003586.1,CP003585.1		FGS/UPR	opportunistic pathogen that transfers vancomycin resistance to other bacteria. HMP reference. first E. faecium strain ever sequenced	22769602		UP000005269
Escherichia coli	3670	Escherichia coli IAI39	NC_011750.1	CU928164.2				PHY	Escherichia coli IAI39 is the representative of E. coli sub-clade D2.	19165319		UP000000749
Escherichia coli	3670	Escherichia coli O104:H4 str. 2011C-3493	NC_018658.1	CP003289.1	NC_018659.1,NC_018666.1,NC_018660.1	CP003290.1,CP003291.1,CP003292.1		PHY	Escherichia coli O104:H4 str. 2011C-3493 is the representative of E. coli sub-clade B1.	23133618		UP000006167
Escherichia coli	3670	Escherichia coli O157:H7 str. Sakai	NC_002695.1	BA000007.2	NC_002128.1,NC_002127.1	AB011549.2,AB011548.2		CLI/PHY	This pathogenic strain of E. coli is enterohemorrhagic and a cause of foodborne illness. Most cases of food poisoning have been linked with eating undercooked contaminated ground meat, raw contaminated vegetables or unpasteurized milk. Waterborne transmission occurs by swimming in contaminated lakes or pools, or by drinking contaminated water. The organism is communicable person-to-person and has caused outbreaks in child day-care centers. E. coli O157:H7 requires specific receptors in order to attach to and enter intestinal cells. Cattle, swine, and deer do not have these receptors, and so can harbor the strain in their intestines without ill effect. The strain contaminated meat during slaughter or butchering, and when undercooked meat is eaten causes acute hemorrhagic diarrhea and abdominal cramps. In healthy adults, the symptoms subside in 5-10 days. In children and the elderly, the infection can cause hemolytic uremic syndrome (2-7% of cases), in which the red blood cells are destroyed and the kidneys fail. This strain is the representative of E. coli sub-clade E.	10734605,11108008,11111050,11258796	http://www.genome.wisc.edu (E. coli genome project)	UP000000558
Escherichia coli	3670	Escherichia coli O83:H1 str. NRG 857C	NC_017634.1	CP001855.1	NC_017659.1	CP001856.1		PHY	Escherichia coli O83:H1 str. NRG 857C is the representative of E. coli sub-clade B2.	17900983,18312396,21108814		UP000008614
Escherichia coli	3670	Escherichia coli str. K-12 substr. MG1655	NC_000913.3	U00096.3				FGS/MOD/PHY/UPR	E. coli K-12 was one of the first organisms to have its genome sequenced, and as such has become a model organism in microbiology research. It is well-adapted to the laboratory environment, and has lost the ability to survive in the intestine. This non-pathogenic laboratory strain was orginally isolated from a stool sample of a patient with diptheria in 1922. During the course of lab culturing, it lost the O-antigen, lambda phage, and F-plasmid. Substrain MG1655 is a parent of DH5a and DH10Ã, which are used extensively in biotechnology. This strain is the representative of E. coli sub-clade A. 	9278503,16397293,16738553	http://www.genome.wisc.edu (E. coli genome project)	UP000000625
Escherichia coli	3670	Escherichia coli UMN026	NC_011751.1	CU928163.2	NC_011739.1,NC_011749.1	CU928149.1,CU928148.1		PHY	Escherichia coli UMN026 is the representative of E. coli sub-clade D1.	19165319		UP000007097
Flavobacterium psychrophilum	21	Flavobacterium psychrophilum JIP02/86	NC_009613.3	AM398681.2				FGS/UPR	Flavobacterium psychrophilum is the causative agent of cold water disease in salmon and trout, which is responsible for considerable economic losses to the aquarium industry.  	17592475		UP000006394
Francisella tularensis	70	Francisella tularensis subsp. tularensis SCHU S4	NC_006570.2	AJ749949.2				CLI/FGS/MOD/UPR	This is the first Francisella tularensis subsp. tularensis genome. F. tularensis subsp. tularensis strain SCHU S4 was first isolated from a tularemia patient in the US in 1995. Because of its high virulence, strain SCHU S4 is widely used in the tularemia research community, and is regarded as a prototypic strain. Many SCHU S4 mutants were created to study the pathogenesis of this deadly bacterium. It is used as reference strain of Francisella tularensis subsp. tularensis in studies of molecular evolution, pathogenesis, and epidemiology.	15640799		UP000001174
Fusobacterium nucleatum	36	Fusobacterium nucleatum subsp. nucleatum ATCC 25586	NC_003454.1	AE009951.2				FGS/TYS/UPR	Fusobacterium nucleatum is the dominant bacterial species in oral cavity. F. nucleatum subsp. nucleatum ATCC 25586 is the type strain and this is the first genomic sequence of the Fusobacterium genus. 	11889109		UP000002521
Gardnerella vaginalis	43	Gardnerella vaginalis ATCC 14019	NC_014644.1	CP002104.1				COM/UPR	Gardnerella vaginalis is a common vaginal bacterial species whose presence correlates strongly with bacterial vaginosis (BV). The genomic sequence of G. vaginalis ATCC 14019 is a HMP reference.	20865041		UP000001453
Geobacter sulfurreducens	3	Geobacter sulfurreducens PCA	NC_002939.5	AE017180.2				FGS/TYS/UPR	Geobacter sulfurreducens is one of the predominant metal-reducing bacteria found in subsurface communities. It is capable of oxidizing organic compounds and coupling that to reduction of metals. The Geobacter sulfurreducens PCA strain was isolated from surface sediments of a hydrocarbon-contaminated ditch in Norman, Oklahoma.	14671304,22967216		UP000000577
Gloeobacter violaceus	1	Gloeobacter violaceus PCC 7421	NC_005125.1	BA000045.2				PHY/TYS/UPR	Gloeobacter violaceus is an obligate photoautotroph that lacks thylakoid membranes. It has been predicted that G. violaceus diverged in the earliest from the cyanobacterial lineage. The genome of G. violaceus PCC 7421 was analyzed to understand the origin and evolution of oxygenic photosynthesis of this species. 	14621292,14621296		UP000000557
Haemophilus influenzae	81	Haemophilus influenzae Rd KW20	NC_000907.1	L42023.1				FGS/UPR	Haemophilus influenzae is an opportunistic bacterial pathogen. H. influenzae was mistakenly considered to be the cause of influenza when it was first isolated in the 1890s during an influenza pandemic. The genomic sequence of H. influenzae Rd KW20 is the first complete genome of a free-living organism.	7542800,8805245		UP000000579
Helicobacter pylori	489	Helicobacter pylori 26695	NC_000915.1	AE000511.1				CLI/FGS/MOD/UPR	Helicobacter pylori is commonly found in the upper gastrointestinal tracts of over 50% of the world's population. It is associated with chronic gastritis, gastric ulcer, and gastric cancers. Helicobacter pylori 26695 was originally isolated from a patient with gastritis in the UK.	9252185		UP000000429
Ketogulonicigenium vulgare	3	Ketogulonicigenium vulgare WSH-001	NC_017384.1	CP002018.1	NC_017386.1,NC_017385.1	CP002019.1,CP002020.1		FGS/MOD	Ketogulonigenium vulgarum WSH-001 is an industrial organism commonly used in the production of vitamin C. K. vulgarum converts the substrate L-sorbose into 2-keto-L-gulonic acid (2-KLG), which is the precursor of vitamin C.	21994934		UP000000692
Klebsiella pneumoniae	837	Klebsiella pneumoniae subsp. pneumoniae HS11286	NC_016845.1	CP003200.1	NC_016846.1,NC_016841.1,NC_016840.1,NC_016847.1,NC_016839.1,NC_016838.1	CP003224.1,CP003228.1,CP003226.1,CP003227.1,CP003225.1,CP003223.1		CLI	Klebsiella pneumoniae is the most medically important organism within the genus Klebsiella. It usually causes pneumonia in immunocompromised patients. K. pneumoniae subsp. pneumoniae HS11286 is a multidrug-resistant strain that was originally isolated from the sputum specimen of patient in China.	22408243		UP000007841
Lactobacillus acidophilus	13	Lactobacillus acidophilus NCFM	NC_006814.3	CP000033.3				MOD/UPR	Lactobacillus acidophilus is part of the human oral, gastrointestinal, and vaginal microbial flora. L. acidophilus NCFM is commercially used in industrial production of formula, yogurt, and fluid milk.	15671160		UP000006381
Lactobacillus casei	32	Lactobacillus casei ATCC 334	NC_008526.1	CP000423.1	NC_008502.1	CP000424.1		COM/UPR	Lactobacillus casei ATCC 334 is commonly used as the starter for milk fermentation and flavor development of cheese.	17030793		UP000001651
Lactobacillus plantarum	45	Lactobacillus plantarum WCFS1	NC_004567.2	AL935263.2	NC_006375.1,NC_006376.1,NC_006377.1	CR377164.1,CR377165.1,CR377166.1		FGS/MOD/UPR	Lactobacillus plantarum are commonly isolated from plant material, and the gastrointestinal tract of animals. This organism is used in the production of fermented foods such as saurkraut, kimchi and sourdough bread. L. plantarum WCFS1 is one of the model strains used in studies of lactic acid bacterium.	12566566,22156394		UP000000432
Lactobacillus salivarius	13	Lactobacillus salivarius UCC118	NC_007929.1	CP000233.1	NC_007930.1,NC_006530.1,NC_006529.1	CP000234.1,AF488832.1,AF488831.1		MOD/UPR	Lactobacillus salivarius was first isolated as part of a survey of human oral lactobacilli and is commonly found in the oral cavity and gastrointestinal tract of humans and other animals. L. salivarius UCC118 is well studied for its probiotic properties and has been used as a model organism to study the maintenance of healthy digestive system.	16617113		UP000006559
Lactococcus lactis	41	Lactococcus lactis subsp. lactis Il1403	NC_002662.1	AE005176.1				FGS/MOD/UPR	Lactococcus lactis is the best-characterized lactic acid bacterium. It is widely used for industrial production of fermented dairy products such as milk, cheese, and yogurt. Lactococcus lactis subsp. lactis Il1403 is the model strain used in biological studies of L. lactis.	11337471		UP000002196
Legionella pneumophila	75	Legionella pneumophila subsp. pneumophila str. Philadelphia 1	NC_002942.5	AE017354.1				COM/TYS/UPR	Legionella pneumophila subsp. pneumophila is an aquatic bacterium that causes Legionnaire's disease. This strain is the isolate from the initial event of Legionellosis in Philadelphia and is the type strain for this species.	15448271		UP000000609
Leptospira interrogans	215	Leptospira interrogans serovar Lai str. 56601	NC_004343.2,NC_004342.2	AE010301.2,AE010300.2				CLI/FGS/UPR	Leptospira interrogans is the causative agent of leptospirosis, a tropical zoonosis transmitted by direct contact with the urine of infected animals. L. interrogans serovar Lai str. 56601 is a representative virulent serovar type strain of Leptospira interrogans serogroup Icterohaemorrhagiae. 	12712204		UP000001408
Listeria monocytogenes	364	Listeria monocytogenes EGD-e	NC_003210.1	AL591824.1				FGS/MOD/UPR	Listeria monocytogenes is the causative agent of listeriosis. L. monocytogenes EGD-e is a well-characterized highly virulent strain.	11679669		UP000000817
Mesoplasma florum	2	Mesoplasma florum L1	NC_006055.1	AE017263.1				FGS/PHY/TYS/UPR	Mesoplasma florum is a non-pathogenic bacterium closely related to mycoplasma. M. florum is an attractive model for evolutionary and synthetic genomics studies due to its significantly small genome (< 800 kb). This is the first genomic sequence of M. florum. 	24285658		UP000006647
Mesorhizobium ciceri	4	Mesorhizobium ciceri biovar biserrulae WSM1271	NC_014923.1	CP002447.1	NC_014918.1	CP002448.1		COM	Mesorhizobium ciceri is an important symbiotic nitrogen fixing bactrium in chickpea plants. Mesorhizobium ciceri biovar biserrulae WSM1271 is the type strain of this species. 	17473255,25197432		UP000007471
Moorella thermoacetica	4	Moorella thermoacetica ATCC 39073	NC_007644.1	CP000232.1				MOD/UPR	Moorella thermoacetica is an model acetogenic bacterium bacterium, which play an important role in the global carbon cycle. M. thermoacetica can grow on hydrogen and fix carbon dioxide or carbon monoxide with the production of acetate. It can also use nitrite as a terminal electron acceptor. 	18631365		UP000007053
Mycobacterium abscessus	249	Mycobacterium abscessus ATCC 19977	NC_010397.1	CU458896.1	NC_010394.1	CU458745.1		COM/TYS/UPR	Mycobacterium abscessus is an emerging pthogen, causing lung, wound, and skin infections.	19543527		UP000007137
Mycobacterium bovis	62	Mycobacterium bovis AF2122/97	NC_002945.3	BX248333.1				CLI/FGS	Mycobacterium bovis is the causative agent of classic bovine tuberculosis, but it can also cause the disease in humans, especially if contaminated milk is consumed without prior pasteurization. M. bovis AF2122/97 is a fully virulent strain that was isolated from a diseased cow in 1997.	12788972		UP000001419
Mycobacterium leprae	2	Mycobacterium leprae TN	NC_002677.1	AL450380.1				CLI/FGS/PRT/UPR	Mycobacterium leprae is the causative agent of leprosy (Hansen's disease). It is closely related with M. tuberculosis, but it has smaller genome size than M. tuberculosis. This is the first Mycobacterium leprae genome. Mycobacterium leprae TN is a clinical strain that was isolated from a patient in India.	11234002		UP000000806
Mycobacterium smegmatis	8	Mycobacterium smegmatis str. MC2 155	NC_008596.1	CP000480.1				MOD/UPR	M. smegmatis is a soil dwelling saprophyte bacterium, but it is associated with soft tissue lesions following trauma or surgery. The M. smegmatis MC2 155 strain is widely used in mycobacterial genetics studies due to its hypertransformable feature. In addition, M. smegmatis MC2 155 is frequently used for culturing and studying mycobacteriophage.	25657281		UP000000757
Mycobacterium tuberculosis	3578	Mycobacterium tuberculosis H37Rv	NC_000962.3	AL123456.3				FGS/MOD/TYS/UPR	Mycobacterium tuberculosis is the causative agent of tuberculosis. M. tuberculosis strain H37Rv derived from the virulent isolate H37 that was first isolated in 1905. The H37Rv strain has been widely used in biomedical research mostly because it is susceptible to drugs and applicable for genetic manipulation, as well as it maintains full virulence.	9634230,12368430,20980199	http://saclab.tamu.edu/genomeDB_v2 (Mycobacterial Genome Database 2.0)	UP000001584
Mycoplasma mycoides	11	Mycoplasma mycoides subsp. mycoides SC str. PG1	NC_005364.2	BX293980.2				FGS/TYS/UPR	Mycoplasma mycoides is the causative agent of contagious bovine pleuropneumonia (CBPP), a highly contagious respiratory disease in cattle. CBPP is the only bacterial disease included in the A-list of the World Organization for Animal Health of prioritized communicable animal diseases.	14762060		UP000001016
Mycoplasma pneumoniae	42	Mycoplasma pneumoniae M129	NC_000912.1	U00089.2				CLI/FGS/UPR	Mycoplasma pneumoniae is a human pathogen causing ?atypical pneumonia?. M. pneumoniae M129 was isolated from a patient with pneumonia and commonly used in biomedical research. 	8948633,10954595		UP000000808
Neisseria gonorrhoeae	326	Neisseria gonorrhoeae FA 1090	NC_002946.2	AE004969.1				CLI/UPR	Neisseria gonorrhoeae causes the sexually transmitted disease (STD) gonorrhea, which is the leading reportable STD in adults in the USA. N. gonorrhoeae FA 1090 is a clinical isolate isolated from a patient with disseminated gonococcal infection.	12517848		UP000000535
