#Organism/Name,Strain,CladeID,BioSample,BioProject,Group,SubGroup,Assembly,Size (Mb),GC%,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP
"Clostridium perfringens str. 13","13",20185,-,PRJNA79,"Firmicutes","Clostridia",GCA_000009685.1 ,3.08574,28.5454,chromosome:NC_003366.1/BA000016.3; plasmid pCP13:NC_003042.1/AP003515.1,-,2,2777,2587,2001/12/27,2015/08/12,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000009685.1_ASM968v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000009685.1_ASM968v1
"Mycobacterium avium subsp. paratuberculosis K-10","K-10",20831,SAMN02604086 ,PRJNA91,"Actinobacteria","Actinobacteria",GCA_000007865.1 ,4.82978,69.3,chromosome:NC_002944.2/AE016958.1,-,1,4457,4289,2001/12/27,2015/08/12,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000007865.1_ASM786v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000007865.1_ASM786v1
"Mycobacterium bovis AF2122/97","AF2122/97",20829,SAMEA1705955 ,PRJNA89,"Actinobacteria","Actinobacteria",GCA_000195835.1 ,4.34549,65.6,chromosome:NC_002945.3/BX248333.1,-,1,4001,3918,2001/01/25,2015/02/27,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000195835.1_ASM19583v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000195835.1_ASM19583v1
"Tropheryma whipplei str. Twist","Twist",20769,SAMN02603248 ,PRJNA95,"Actinobacteria","Actinobacteria",GCA_000007485.1 ,0.927303,46.3,chromosome:NC_004572.3/AE014184.1,-,1,898,839,2003/02/24,2015/08/17,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000007485.1_ASM748v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000007485.1_ASM748v1
"Actinobacillus pleuropneumoniae serovar 5b str. L20","L20",19697,SAMN02603665 ,PRJNA18221,"Proteobacteria","Gammaproteobacteria",GCA_000015885.1 ,2.27448,41.3,chromosome:NC_009053.1/CP000569.1,-,1,2168,2042,2007/02/23,2015/08/17,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000015885.1_ASM1588v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000015885.1_ASM1588v1
"Mycobacterium tuberculosis H37Rv","H37Rv",20829,SAMEA3138326 ,PRJNA224,"Actinobacteria","Actinobacteria",GCA_000195955.2 ,4.41153,65.6,chromosome:NC_000962.3/AL123456.3,-,1,4008,3906,2001/09/07,2015/05/14,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000195955.2_ASM19595v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000195955.2_ASM19595v2
"Escherichia coli O157:H7 str. Sakai","Sakai substr. RIMD 0509952",19668,SAMN01911278 ,PRJNA226,"Proteobacteria","Gammaproteobacteria",GCA_000008865.1 ,5.59448,50.4477,chromosome:NC_002695.1/BA000007.2; plasmid pO157:NC_002128.1/AB011549.2; plasmid pOSAK1:NC_002127.1/AB011548.2,-,3,5448,5292,2001/03/07,2014/12/16,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000008865.1_ASM886v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000008865.1_ASM886v1
"Streptococcus pneumoniae R6","R6",20104,SAMN02603218 ,PRJNA278,"Firmicutes","Bacilli",GCA_000007045.1 ,2.03862,39.7,chromosome:NC_003098.1/AE007317.1,-,1,1967,1814,2001/10/03,2014/12/16,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000007045.1_ASM704v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000007045.1_ASM704v1
"Helicobacter pylori 26695","26695",19252,SAMN02603995 ,PRJNA233,"Proteobacteria","delta/epsilon subdivisions",GCA_000008525.1 ,1.66787,38.9,chromosome:NC_000915.1/AE000511.1,-,1,1555,1445,1997/08/06,2015/04/09,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000008525.1_ASM852v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000008525.1_ASM852v1
"Neisseria meningitidis MC58","MC58",19400,SAMN02603997 ,PRJNA251,"Proteobacteria","Betaproteobacteria",GCA_000008805.1 ,2.27236,51.5,chromosome:NC_003112.2/AE002098.2,-,1,2104,1943,2000/02/25,2015/04/20,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000008805.1_ASM880v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000008805.1_ASM880v1
"Haemophilus influenzae Rd KW20","",19710,SAMN02603991 ,PRJNA219,"Proteobacteria","Gammaproteobacteria",GCA_000027305.1 ,1.83014,38.2,chromosome:NC_000907.1/L42023.1,-,1,1765,1610,1995/07/25,2015/04/09,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000027305.1_ASM2730v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000027305.1_ASM2730v1
"Prochlorococcus marinus subsp. marinus str. CCMP1375","CCMP1375; SS120",19186,SAMN02603142 ,PRJNA419,"Cyanobacteria","Prochlorales",GCA_000007925.1 ,1.75108,36.4,chromosome:NC_005042.1/AE017126.1,-,1,1930,1882,2003/07/25,2014/12/22,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000007925.1_ASM792v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000007925.1_ASM792v1
"Buchnera aphidicola str. Sg (Schizaphis graminum)","Sg",19570,SAMN02604269 ,PRJNA312,"Proteobacteria","Gammaproteobacteria",GCA_000007365.1 ,0.641454,25.3,chromosome:NC_004061.1/AE013218.1,-,1,622,561,2002/06/10,2015/08/12,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000007365.1_ASM736v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000007365.1_ASM736v1
"Pseudomonas putida KT2440","KT2440",19542,SAMN02603999 ,PRJNA267,"Proteobacteria","Gammaproteobacteria",GCA_000007565.1 ,6.18186,61.5,chromosome:NC_002947.3/AE015451.1,-,1,5516,5350,2002/02/14,2014/12/17,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000007565.1_ASM756v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000007565.1_ASM756v1
"Streptococcus pyogenes M1 GAS","SF370",20126,SAMN02604089 ,PRJNA269,"Firmicutes","Bacilli",GCA_000006785.2 ,1.85243,38.5,chromosome:NC_002737.2/AE004092.2,-,1,1801,1693,2001/04/10,2015/08/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000006785.2_ASM678v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000006785.2_ASM678v2
"Leptospira interrogans serovar Lai str. 56601","56601",20999,SAMN02603127 ,PRJNA293,"Spirochaetes","Spirochaetia",GCA_000092565.1 ,4.69813,35.0076,chromosome I:NC_004342.2/AE010300.2; chromosome II:NC_004343.2/AE010301.2,-,2,3741,3683,2002/10/21,2015/05/05,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000092565.1_ASM9256v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000092565.1_ASM9256v1
"Xanthomonas axonopodis Xac29-1","Xac29-1",19487,SAMN02603863 ,PRJNA193074,"Proteobacteria","Gammaproteobacteria",GCA_000348585.1 ,5.29652,64.7171,chromosome:NC_020800.1/CP004399.1; plasmid pXAC33:NC_020801.1/CP004402.1; plasmid pXAC47:NC_020798.1/CP004401.1; plasmid pXAC64:NC_020797.1/CP004400.1,-,4,4542,4278,2013/03/22,2015/08/18,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000348585.1_ASM34858v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000348585.1_ASM34858v1
"Xylella fastidiosa 9a5c","9a5c",19482,SAMN02603773 ,PRJNA271,"Proteobacteria","Gammaproteobacteria",GCA_000006725.1 ,2.73175,52.6433,chromosome:NC_002488.3/AE003849.1; plasmid pXF1.3:NC_002489.3/AE003850.3; plasmid pXF51:NC_002490.1/AE003851.1,-,3,2487,2310,2000/06/02,2015/08/17,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000006725.1_ASM672v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000006725.1_ASM672v1
"Agrobacterium radiobacter K84","K84",19911,SAMN02602977 ,PRJNA13402,"Proteobacteria","Alphaproteobacteria",GCA_000016265.1 ,7.2733,59.8671,chromosome 1:NC_011985.1/CP000628.1; chromosome 2:NC_011983.1/CP000629.1; plasmid pAgK84:NC_011994.1/CP000632.1; plasmid pAtK84b:NC_011990.1/CP000630.1; plasmid pAtK84c:NC_011987.1/CP000631.1,-,5,6831,6699,2009/01/27,2015/07/30,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000016265.1_ASM1626v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000016265.1_ASM1626v1
"Fusobacterium nucleatum subsp. nucleatum ATCC 25586","ATCC 25586",35123,SAMN02603417 ,PRJNA295,"Fusobacteria","Fusobacteriia",GCA_000007325.1 ,2.1745,27.2,chromosome:NC_003454.1/AE009951.2,-,1,2062,1983,2002/02/13,2014/12/16,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000007325.1_ASM732v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000007325.1_ASM732v1
"Pseudomonas aeruginosa PAO1","PAO1",19537,SAMN02603714 ,PRJNA331,"Proteobacteria","Gammaproteobacteria",GCA_000006765.1 ,6.2644,66.6,chromosome:NC_002516.2/AE004091.2,-,1,5697,5572,2000/05/16,2015/06/05,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000006765.1_ASM676v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000006765.1_ASM676v1
"Streptococcus agalactiae 2603V/R","2603V/R",20122,SAMN02604013 ,PRJNA330,"Firmicutes","Bacilli",GCA_000007265.1 ,2.16027,35.6,chromosome:NC_004116.1/AE009948.1,-,1,2279,2127,2002/08/28,2015/08/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000007265.1_ASM726v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000007265.1_ASM726v1
"Bacillus anthracis str. Ames","Ames",20021,SAMN02603432 ,PRJNA309,"Firmicutes","Bacilli",GCA_000007845.1 ,5.22729,35.4,chromosome:NC_003997.3/AE016879.1,-,1,5636,5326,2002/05/16,2015/05/08,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000007845.1_ASM784v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000007845.1_ASM784v1
"Shigella flexneri 2a str. 301","301",19668,SAMN02603599 ,PRJNA310,"Proteobacteria","Gammaproteobacteria",GCA_000006925.2 ,4.82882,50.6659,chromosome:NC_004337.2/AE005674.2; plasmid pCP301:NC_004851.1/AF386526.1,-,2,4790,4315,2002/10/16,2014/12/18,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000006925.2_ASM692v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000006925.2_ASM692v2
"Pseudomonas syringae pv. syringae B728a","B728a",19543,SAMN02604347 ,PRJNA323,"Proteobacteria","Gammaproteobacteria",GCA_000012245.1 ,6.0937,59.2,chromosome:NC_007005.1/CP000075.1,-,1,5220,5089,2005/05/12,2014/12/17,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000012245.1_ASM1224v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000012245.1_ASM1224v1
"Bifidobacterium longum NCC2705","NCC2705",20777,SAMN02603675 ,PRJNA328,"Actinobacteria","Actinobacteria",GCA_000007525.1 ,2.26027,60.1075,chromosome:NC_004307.2/AE014295.3; plasmid pBLO1:NC_004943.1/AF540971.1,-,2,1799,1728,2002/09/27,2015/04/13,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000007525.1_ASM752v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000007525.1_ASM752v1
"Vibrio vulnificus YJ016","YJ016",19626,-,PRJNA1430,"Proteobacteria","Gammaproteobacteria",GCA_000009745.1 ,5.26009,46.6686,chromosome I:NC_005139.1/BA000037.2; chromosome II:NC_005140.1/BA000038.2; plasmid pYJ016:NC_005128.1/AP005352.1,-,3,4703,4523,2003/10/01,2015/08/17,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000009745.1_ASM974v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000009745.1_ASM974v1
"Chlamydophila pneumoniae CWL029","CWL029",20510,SAMN02603115 ,PRJNA248,"Chlamydiae/Verrucomicrobia group","Chlamydiae",GCA_000008745.1 ,1.23023,40.6,chromosome:NC_000922.1/AE001363.1,-,1,1091,1029,1999/12/22,2015/06/11,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000008745.1_ASM874v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000008745.1_ASM874v1
"Mycoplasma hyopneumoniae J","J",21059,SAMN02603526 ,PRJNA10675,"Tenericutes","Mollicutes",GCA_000008205.1 ,0.897405,28.5,chromosome:NC_007295.1/AE017243.1,-,1,716,665,2005/08/05,2015/08/17,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000008205.1_ASM820v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000008205.1_ASM820v1
"Streptococcus suis BM407","BM407",20103,SAMEA2272697 ,PRJEA32237,"Firmicutes","Bacilli",GCA_000026745.1 ,2.17081,41.0468,chromosome:NC_012926.1/FM252032.1; plasmid pBM407:NC_012923.1/FM252033.1,-,2,2136,1947,2009/07/07,2015/02/27,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000026745.1_ASM2674v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000026745.1_ASM2674v1
"Arthrobacter aurescens TC1","TC1; ATCC BAA-1386",20964,SAMN02604022 ,PRJNA12512,"Actinobacteria","Actinobacteria",GCA_000014925.1 ,5.22665,62.3869,chromosome:NC_008711.1/CP000474.1; plasmid TC1:NC_008712.1/CP000475.1; plasmid TC2:NC_008713.1/CP000476.1,-,3,4752,4627,2006/12/26,2015/08/18,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000014925.1_ASM1492v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000014925.1_ASM1492v1
"Acinetobacter baumannii ACICU","ACICU",19507,SAMN02603140 ,PRJNA17827,"Proteobacteria","Gammaproteobacteria",GCA_000018445.1 ,3.99676,38.9013,chromosome:NC_010611.1/CP000863.1; plasmid pACICU1:NC_010605.1/CP000864.1; plasmid pACICU2:NC_010606.1/CP000865.1,-,3,3802,3613,2008/04/15,2015/08/12,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000018445.1_ASM1844v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000018445.1_ASM1844v1
"Shigella sonnei Ss046","Ss046",19668,SAMN02603602 ,PRJNA13151,"Proteobacteria","Gammaproteobacteria",GCA_000092525.1 ,5.05532,50.7587,chromosome:NC_007384.1/CP000038.1; plasmid pSS046_spA:NC_009345.1/CP000641.1; plasmid pSS046_spB:NC_009346.1/CP000642.1; plasmid pSS046_spC:NC_009347.1/CP000643.1; plasmid pSS_046:NC_007385.1/CP000039.1,-,5,5306,4808,2005/08/29,2015/07/30,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000092525.1_ASM9252v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000092525.1_ASM9252v1
"Haemophilus somnus 2336","2336",19701,SAMN02598524 ,PRJNA388,"Proteobacteria","Gammaproteobacteria",GCA_000019405.1 ,2.26386,37.4,chromosome:NC_010519.1/CP000947.1,-,1,2082,1968,2008/02/26,2015/08/17,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000019405.1_ASM1940v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000019405.1_ASM1940v1
"Chlorobium phaeobacteroides DSM 266","DSM 266",20540,SAMN02598273 ,PRJNA12609,"Bacteroidetes/Chlorobi group","Chlorobi",GCA_000015125.1 ,3.1339,48.4,chromosome:NC_008639.1/CP000492.1,-,1,2850,2728,2006/12/11,2015/07/30,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000015125.1_ASM1512v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000015125.1_ASM1512v1
"Bacteroides fragilis YCH46","YCH46",20571,-,PRJNA13067,"Bacteroidetes/Chlorobi group","Bacteroidetes",GCA_000009925.1 ,5.31099,43.2378,chromosome:NC_006347.1/AP006841.1; plasmid pBFY46:NC_006297.1/AP006842.1,-,2,4717,4625,2004/09/17,2014/12/17,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000009925.1_ASM992v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000009925.1_ASM992v1
"Legionella pneumophila subsp. pneumophila str. Philadelphia 1","Philadelphia 1",19355,SAMN02603156 ,PRJNA22,"Proteobacteria","Gammaproteobacteria",GCA_000008485.1 ,3.39775,38.3,chromosome:NC_002942.5/AE017354.1,-,1,3003,2943,2001/10/15,2014/12/17,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000008485.1_ASM848v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000008485.1_ASM848v1
"Burkholderia pseudomallei K96243","K96243",19460,SAMEA1705938 ,PRJNA178,"Proteobacteria","Betaproteobacteria",GCA_000011545.1 ,7.24755,68.0502,chromosome 1:NC_006350.1/BX571965.1; chromosome 2:NC_006351.1/BX571966.1,-,2,5935,5726,2004/09/16,2015/04/21,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000011545.1_ASM1154v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000011545.1_ASM1154v1
"Anaplasma marginale str. Florida","Florida",19940,SAMN02604306 ,PRJNA16369,"Proteobacteria","Alphaproteobacteria",GCA_000020305.1 ,1.20243,49.8,chromosome:NC_012026.1/CP001079.1,-,1,1009,942,2009/02/03,2015/08/17,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000020305.1_ASM2030v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000020305.1_ASM2030v1
"Bacillus licheniformis DSM 13 = ATCC 14580","ATCC 14580; DSM 13",20038,SAMN02603685 ,PRJNA12388,"Firmicutes","Bacilli",GCA_000011645.1 ,4.2226,46.2,chromosome:NC_006270.3/CP000002.3,-,1,4294,4158,2004/09/14,2015/08/17,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000011645.1_ASM1164v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000011645.1_ASM1164v1
"Streptococcus thermophilus LMG 18311","LMG 18311",23574,SAMN02604079 ,PRJNA13162,"Firmicutes","Bacilli",GCA_000011825.1 ,1.79685,39.1,chromosome:NC_006448.1/CP000023.1,-,1,1887,1679,2004/11/15,2015/08/17,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000011825.1_ASM1182v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000011825.1_ASM1182v1
"Shigella dysenteriae Sd197","Sd197",19668,SAMN02603600 ,PRJNA13145,"Proteobacteria","Gammaproteobacteria",GCA_000012005.1 ,4.56091,50.921,chromosome:NC_007606.1/CP000034.1; plasmid pSD197_spA:NC_009344.1/CP000640.1; plasmid pSD1_197:NC_007607.1/CP000035.1,-,3,4834,4294,2005/11/09,2014/12/17,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000012005.1_ASM1200v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000012005.1_ASM1200v1
"Wolbachia endosymbiont strain TRS of Brugia malayi","",19931,SAMN02603678 ,PRJNA12475,"Proteobacteria","Alphaproteobacteria",GCA_000008385.1 ,1.08008,34.2,chromosome:NC_006833.1/AE017321.1,-,1,984,826,2005/02/02,2015/08/12,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000008385.1_ASM838v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000008385.1_ASM838v1
"Shewanella baltica OS678","OS678",19610,SAMN00016780 ,PRJNA47019,"Proteobacteria","Gammaproteobacteria",GCA_000178875.2 ,5.36877,46.276,chromosome:NC_016901.1/CP002383.1; plasmid pSBAL67801:NC_016905.1/CP002384.1,-,2,4658,4480,2010/12/21,2015/08/18,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000178875.2_ASM17887v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000178875.2_ASM17887v2
"Lactobacillus reuteri DSM 20016","DSM 20016",20076,SAMN02598351 ,PRJNA15766,"Firmicutes","Bacilli",GCA_000016825.1 ,1.99962,38.9,chromosome:NC_009513.1/CP000705.1,-,1,2018,1900,2007/06/01,2015/07/30,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000016825.1_ASM1682v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000016825.1_ASM1682v1
